time,London,Seattle
2022-01-02,2.2,5.3999999999999995
2022-01-09,12.9,134.7
2022-01-16,3.1,45.5
2022-01-23,0.0,15.7
2022-01-30,0.8,1.7000000000000002
2022-02-06,8.4,10.0
2022-02-13,17.6,1.2
2022-02-20,24.3,11.1
2022-02-27,4.500000000000001,23.3
2022-03-06,26.1,79.9
2022-03-13,6.6000000000000005,7.0
2022-03-20,12.0,36.2
2022-03-27,0.1,27.0
2022-04-03,9.9,6.5
2022-04-10,10.7,36.300000000000004
2022-04-17,5.4,10.9
2022-04-24,0.2,21.3
2022-05-01,2.1,19.6
2022-05-08,7.2,36.3
2022-05-15,31.4,32.6
2022-05-22,36.5,13.7
2022-05-29,6.7,27.9
2022-06-05,13.0,41.2
2022-06-12,33.8,33.4
2022-06-19,12.0,10.0
2022-06-26,3.7,2.1
2022-07-03,6.5,3.8
2022-07-10,0.0,4.2
2022-07-17,0.39999999999999997,0.8
2022-07-24,9.9,0.2
2022-07-31,2.5,0.0
2022-08-07,0.2,0.6000000000000001
2022-08-14,0.0,9.5
2022-08-21,6.9,0.4
2022-08-28,21.2,4.5
2022-09-04,7.300000000000001,0.5
2022-09-11,21.0,1.0
2022-09-18,9.8,3.9000000000000004
2022-09-25,4.7,0.8
2022-10-02,8.6,4.3
2022-10-09,2.8,0.0
2022-10-16,24.7,0.0
2022-10-23,32.1,20.1
2022-10-30,9.7,38.6
2022-11-06,67.8,74.1
2022-11-13,6.1000000000000005,12.8
2022-11-20,44.1,0.0
2022-11-27,28.400000000000002,38.7
2022-12-04,3.5,44.4
2022-12-11,0.9,35.5
2022-12-18,11.4,2.7
2022-12-25,16.5,61.6
2023-01-01,25.4,77.6
